Name,Usage,Parent,Tags,Value,Units
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_17,,\ACQ1001_639.CH_46,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_17,,\AXUV.DIODEARRAY3.CH_17.VOLTAGE / \AXUV.DIODEARRAY3.CH_17.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_17,,220.7,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_17,,0.40504707211014374,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_17,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_17,,-2.0791493701232504,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_17,,0.0911215741134725,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_17,,2.7107999324798584,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_17,,4.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_17,,-19.23390007019043,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_17,,0.2867000102996826,
AXUV.DIODEARRAY3.CH_18,SIGNAL,,,\AXUV.DIODEARRAY3.CH_18.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_18,,\AXUV.DIODEARRAY3.CH_18.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_18,,\ACQ1001_639.CH_45,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_18,,\AXUV.DIODEARRAY3.CH_18.VOLTAGE / \AXUV.DIODEARRAY3.CH_18.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_18,,220.2,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_18,,0.4050626687625015,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_18,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_18,,-2.076804324428753,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_18,,0.10415363564982692,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_18,,3.354300022125244,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_18,,3.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_18,,-21.833099365234375,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_18,,0.2709999978542328,
AXUV.DIODEARRAY3.CH_19,SIGNAL,,,\AXUV.DIODEARRAY3.CH_19.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_19,,\AXUV.DIODEARRAY3.CH_19.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_19,,\ACQ1001_639.CH_44,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_19,,\AXUV.DIODEARRAY3.CH_19.VOLTAGE / \AXUV.DIODEARRAY3.CH_19.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_19,,220.5,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_19,,0.4050804927727328,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_19,,0.0,m
